+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 667.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.228%   |
| Final balance               | 2140.65  |
| Final equity                | 1586.51  |
| Net PNL + fees              | 1140.65  |
| Total gain                  | 118.8%   |
| Average daily gain          | 0.0826%  |
| DG mean std ratio           | 0.05862  |
| Price action distance mean  | 0.19868  |
| Price action distance std   | 0.442116 |
| Price action distance max   | 2.62973  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6438   |
| Equity/balance ratio std    | 0.08618  |
| No. fills                   | 35744    |
| No. entries                 | 25333    |
| No. closes                  | 10411    |
| No. initial entries         | 10382    |
| No. reentries               | 14950    |
| No. unstuck entries         | 1        |
| No. unstuck closes          | 12       |
| No. normal closes           | 10399    |
| Average n fills per day     | 53.5     |
| Mean hours stuck            | 0.848108 |
| Max hours stuck             | 1738.65  |
| PNL sum                     | 1188.0   |
| Profit sum                  | 1197.0   |
| Loss sum                    | -8.733   |
| Fee sum                     | -47.31   |
| Biggest pos size            | 93.8     |
| Biggest pos cost            | 1067.0   |
| Volume quote                | 473051.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.1%    |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -894.705 |
| Total gain                  | -88.46%  |
| Average daily gain          | -0.687%  |
| DG mean std ratio           | -0.01775 |
| Price action distance mean  | 0.123331 |
| Price action distance std   | 0.19298  |
| Price action distance max   | 0.645354 |
| Closest bankruptcy          | 5.965%   |
| Lowest equity/balance ratio | 0.08959  |
| Equity/balance ratio std    | 0.1763   |
| No. fills                   | 9657     |
| No. entries                 | 5351     |
| No. closes                  | 4305     |
| No. initial entries         | 4277     |
| No. reentries               | 1073     |
| No. unstuck entries         | 1        |
| No. unstuck closes          | 4        |
| No. normal closes           | 4301     |
| Average n fills per day     | 14.5     |
| Mean hours stuck            | 7.49532  |
| Max hours stuck             | 6190.58  |
| PNL sum                     | -884.6   |
| Profit sum                  | 277.2    |
| Loss sum                    | -1162.0  |
| Fee sum                     | -10.06   |
| Biggest pos size            | 101.1    |
| Biggest pos cost            | 624.1    |
| Volume quote                | 100021.0 |
+-----------------------------+----------+
