+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.303%    |
| Final balance               | 9669.47   |
| Final equity                | 4837.59   |
| Net PNL + fees              | 8669.47   |
| Total gain                  | 901.7%    |
| Average daily gain          | 0.227%    |
| DG mean std ratio           | 0.0851    |
| Price action distance mean  | 0.204618  |
| Price action distance std   | 0.381471  |
| Price action distance max   | 1.69438   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4283    |
| Equity/balance ratio std    | 0.1699    |
| No. fills                   | 38057     |
| No. entries                 | 25352     |
| No. closes                  | 12705     |
| No. initial entries         | 11987     |
| No. reentries               | 13365     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12705     |
| Average n fills per day     | 46.2      |
| Mean hours stuck            | 0.936542  |
| Max hours stuck             | 3757.53   |
| PNL sum                     | 9017.0    |
| Profit sum                  | 9017.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -347.3    |
| Biggest pos size            | 309947.0  |
| Biggest pos cost            | 8791.0    |
| Volume quote                | 3472910.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -18.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -939.521  |
| Total gain                  | -93.94%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.03799  |
| Price action distance mean  | 0.146802  |
| Price action distance std   | 0.230553  |
| Price action distance max   | 0.909172  |
| Closest bankruptcy          | 5.783%    |
| Lowest equity/balance ratio | 0.09095   |
| Equity/balance ratio std    | 0.0372    |
| No. fills                   | 343       |
| No. entries                 | 254       |
| No. closes                  | 88        |
| No. initial entries         | 37        |
| No. reentries               | 217       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 52        |
| No. normal closes           | 36        |
| Average n fills per day     | 0.416     |
| Mean hours stuck            | 117.804   |
| Max hours stuck             | 14928.2   |
| PNL sum                     | -939.4    |
| Profit sum                  | 14.55     |
| Loss sum                    | -953.9    |
| Fee sum                     | -0.1287   |
| Biggest pos size            | 31507.0   |
| Biggest pos cost            | 92.28     |
| Volume quote                | 1194.51   |
+-----------------------------+-----------+
