+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.323%    |
| Final balance               | 9226.04   |
| Final equity                | 4071.94   |
| Net PNL + fees              | 8226.04   |
| Total gain                  | 835.1%    |
| Average daily gain          | 0.239%    |
| DG mean std ratio           | 0.07232   |
| Price action distance mean  | 0.265217  |
| Price action distance std   | 0.489996  |
| Price action distance max   | 2.12206   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.382     |
| Equity/balance ratio std    | 0.196     |
| No. fills                   | 8482      |
| No. entries                 | 4882      |
| No. closes                  | 3600      |
| No. initial entries         | 2670      |
| No. reentries               | 2212      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3600      |
| Average n fills per day     | 11.2      |
| Mean hours stuck            | 3.91003   |
| Max hours stuck             | 3793.18   |
| PNL sum                     | 8351.0    |
| Profit sum                  | 8351.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -124.7    |
| Biggest pos size            | 1040.3    |
| Biggest pos cost            | 8389.0    |
| Volume quote                | 1246560.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -19.8%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -935.763  |
| Total gain                  | -93.55%   |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.04628  |
| Price action distance mean  | 0.338103  |
| Price action distance std   | 0.335538  |
| Price action distance max   | 0.910943  |
| Closest bankruptcy          | 5.999%    |
| Lowest equity/balance ratio | 0.06362   |
| Equity/balance ratio std    | 0.1238    |
| No. fills                   | 522       |
| No. entries                 | 358       |
| No. closes                  | 163       |
| No. initial entries         | 76        |
| No. reentries               | 282       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 163       |
| Average n fills per day     | 0.688     |
| Mean hours stuck            | 40.9191   |
| Max hours stuck             | 12700.1   |
| PNL sum                     | -935.5    |
| Profit sum                  | 40.31     |
| Loss sum                    | -975.8    |
| Fee sum                     | -0.2519   |
| Biggest pos size            | 51.0      |
| Biggest pos cost            | 95.21     |
| Volume quote                | 2423.72   |
+-----------------------------+-----------+
