+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.519%    |
| Final balance               | 6474.88   |
| Final equity                | 4242.79   |
| Net PNL + fees              | 5474.88   |
| Total gain                  | 575.1%    |
| Average daily gain          | 0.236%    |
| DG mean std ratio           | 0.08637   |
| Price action distance mean  | 0.943201  |
| Price action distance std   | 1.17064   |
| Price action distance max   | 7.2944    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5648    |
| Equity/balance ratio std    | 0.1288    |
| No. fills                   | 22743     |
| No. entries                 | 17122     |
| No. closes                  | 5621      |
| No. initial entries         | 4011      |
| No. reentries               | 13107     |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 132       |
| No. normal closes           | 5489      |
| Average n fills per day     | 31.6      |
| Mean hours stuck            | 2.24141   |
| Max hours stuck             | 3860.42   |
| PNL sum                     | 5751.0    |
| Profit sum                  | 5945.0    |
| Loss sum                    | -193.1    |
| Fee sum                     | -276.6    |
| Biggest pos size            | 31556.0   |
| Biggest pos cost            | 3286.0    |
| Volume quote                | 2765650.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.8%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -910.848  |
| Total gain                  | -90.91%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05523  |
| Price action distance mean  | 0.1116    |
| Price action distance std   | 0.130232  |
| Price action distance max   | 0.644328  |
| Closest bankruptcy          | 5.964%    |
| Lowest equity/balance ratio | 0.09658   |
| Equity/balance ratio std    | 0.04721   |
| No. fills                   | 1693      |
| No. entries                 | 1354      |
| No. closes                  | 338       |
| No. initial entries         | 248       |
| No. reentries               | 1106      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 90        |
| No. normal closes           | 248       |
| Average n fills per day     | 2.35      |
| Mean hours stuck            | 14.5598   |
| Max hours stuck             | 14390.8   |
| PNL sum                     | -909.1    |
| Profit sum                  | 60.69     |
| Loss sum                    | -969.8    |
| Fee sum                     | -1.72     |
| Biggest pos size            | 24945.0   |
| Biggest pos cost            | 529.5     |
| Volume quote                | 16673.9   |
+-----------------------------+-----------+
