+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 903.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.155%    |
| Final balance               | 3575.68   |
| Final equity                | 2357.5    |
| Net PNL + fees              | 2575.68   |
| Total gain                  | 266.6%    |
| Average daily gain          | 0.134%    |
| DG mean std ratio           | 0.04911   |
| Price action distance mean  | 0.0718476 |
| Price action distance std   | 0.157879  |
| Price action distance max   | 1.07523   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5289    |
| Equity/balance ratio std    | 0.09347   |
| No. fills                   | 14519     |
| No. entries                 | 8216      |
| No. closes                  | 6303      |
| No. initial entries         | 5937      |
| No. reentries               | 2279      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6303      |
| Average n fills per day     | 16.1      |
| Mean hours stuck            | 2.85518   |
| Max hours stuck             | 1825.13   |
| PNL sum                     | 2666.0    |
| Profit sum                  | 2666.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -90.06    |
| Biggest pos size            | 26796.0   |
| Biggest pos cost            | 3251.0    |
| Volume quote                | 900612.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -16.7%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -938.898  |
| Total gain                  | -93.88%   |
| Average daily gain          | -0.508%   |
| DG mean std ratio           | -0.05553  |
| Price action distance mean  | 0.484539  |
| Price action distance std   | 0.285966  |
| Price action distance max   | 0.910788  |
| Closest bankruptcy          | 5.891%    |
| Lowest equity/balance ratio | 0.07154   |
| Equity/balance ratio std    | 0.1375    |
| No. fills                   | 112       |
| No. entries                 | 61        |
| No. closes                  | 50        |
| No. initial entries         | 33        |
| No. reentries               | 28        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 50        |
| Average n fills per day     | 0.124     |
| Mean hours stuck            | 214.733   |
| Max hours stuck             | 12790.6   |
| PNL sum                     | -938.8    |
| Profit sum                  | 6.932     |
| Loss sum                    | -945.8    |
| Fee sum                     | -0.05919  |
| Biggest pos size            | 2897.0    |
| Biggest pos cost            | 91.57     |
| Volume quote                | 500.308   |
+-----------------------------+-----------+
