+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 758.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.176%   |
| Final balance               | 1947.04  |
| Final equity                | 1202.4   |
| Net PNL + fees              | 947.037  |
| Total gain                  | 98.8%    |
| Average daily gain          | 0.0324%  |
| DG mean std ratio           | 0.02522  |
| Price action distance mean  | 0.663164 |
| Price action distance std   | 1.09883  |
| Price action distance max   | 4.54589  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6015   |
| Equity/balance ratio std    | 0.1452   |
| No. fills                   | 24501    |
| No. entries                 | 13683    |
| No. closes                  | 10818    |
| No. initial entries         | 10584    |
| No. reentries               | 3093     |
| No. unstuck entries         | 6        |
| No. unstuck closes          | 17       |
| No. normal closes           | 10801    |
| Average n fills per day     | 32.3     |
| Mean hours stuck            | 2.86846  |
| Max hours stuck             | 2640.37  |
| PNL sum                     | 988.0    |
| Profit sum                  | 1060.0   |
| Loss sum                    | -71.85   |
| Fee sum                     | -41.0    |
| Biggest pos size            | 447.2    |
| Biggest pos cost            | 999.9    |
| Volume quote                | 409967.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.61%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -909.279 |
| Total gain                  | -90.63%  |
| Average daily gain          | -0.605%  |
| DG mean std ratio           | -0.0522  |
| Price action distance mean  | 0.100207 |
| Price action distance std   | 0.161255 |
| Price action distance max   | 0.644874 |
| Closest bankruptcy          | 5.985%   |
| Lowest equity/balance ratio | 0.09196  |
| Equity/balance ratio std    | 0.09463  |
| No. fills                   | 3600     |
| No. entries                 | 1970     |
| No. closes                  | 1629     |
| No. initial entries         | 1620     |
| No. reentries               | 350      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 10       |
| No. normal closes           | 1619     |
| Average n fills per day     | 4.74     |
| Mean hours stuck            | 20.4137  |
| Max hours stuck             | 14411.8  |
| PNL sum                     | -906.3   |
| Profit sum                  | 74.66    |
| Loss sum                    | -980.9   |
| Fee sum                     | -2.989   |
| Biggest pos size            | 280.1    |
| Biggest pos cost            | 535.8    |
| Volume quote                | 29352.9  |
+-----------------------------+----------+
