+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.197%    |
| Final balance               | 2110.32   |
| Final equity                | 1381.39   |
| Net PNL + fees              | 1110.32   |
| Total gain                  | 115.6%    |
| Average daily gain          | 0.049%    |
| DG mean std ratio           | 0.04332   |
| Price action distance mean  | 0.393086  |
| Price action distance std   | 0.740482  |
| Price action distance max   | 3.02255   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6296    |
| Equity/balance ratio std    | 0.1252    |
| No. fills                   | 28329     |
| No. entries                 | 16801     |
| No. closes                  | 11528     |
| No. initial entries         | 11409     |
| No. reentries               | 5392      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11528     |
| Average n fills per day     | 37.3      |
| Mean hours stuck            | 1.90232   |
| Max hours stuck             | 3961.4    |
| PNL sum                     | 1156.0    |
| Profit sum                  | 1156.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -45.53    |
| Biggest pos size            | 302.4     |
| Biggest pos cost            | 1040.0    |
| Volume quote                | 455298.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.61%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -919.696  |
| Total gain                  | -91.73%   |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.05923  |
| Price action distance mean  | 0.0862044 |
| Price action distance std   | 0.12406   |
| Price action distance max   | 0.646326  |
| Closest bankruptcy          | 5.982%    |
| Lowest equity/balance ratio | 0.08573   |
| Equity/balance ratio std    | 0.05835   |
| No. fills                   | 3054      |
| No. entries                 | 1763      |
| No. closes                  | 1290      |
| No. initial entries         | 1154      |
| No. reentries               | 604       |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 131       |
| No. normal closes           | 1159      |
| Average n fills per day     | 4.03      |
| Mean hours stuck            | 14.3378   |
| Max hours stuck             | 14286.7   |
| PNL sum                     | -917.3    |
| Profit sum                  | 71.58     |
| Loss sum                    | -988.9    |
| Fee sum                     | -2.368    |
| Biggest pos size            | 295.7     |
| Biggest pos cost            | 528.5     |
| Volume quote                | 23202.0   |
+-----------------------------+-----------+
