+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.227%    |
| Final balance               | 4623.14   |
| Final equity                | 2787.97   |
| Net PNL + fees              | 3623.14   |
| Total gain                  | 376.4%    |
| Average daily gain          | 0.164%    |
| DG mean std ratio           | 0.07179   |
| Price action distance mean  | 0.103919  |
| Price action distance std   | 0.211331  |
| Price action distance max   | 1.43508   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4661    |
| Equity/balance ratio std    | 0.1073    |
| No. fills                   | 31010     |
| No. entries                 | 20466     |
| No. closes                  | 10544     |
| No. initial entries         | 10379     |
| No. reentries               | 10087     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 22        |
| No. normal closes           | 10522     |
| Average n fills per day     | 41.8      |
| Mean hours stuck            | 1.09303   |
| Max hours stuck             | 1352.52   |
| PNL sum                     | 3764.0    |
| Profit sum                  | 3769.0    |
| Loss sum                    | -5.47     |
| Fee sum                     | -140.5    |
| Biggest pos size            | 214150.0  |
| Biggest pos cost            | 4208.0    |
| Volume quote                | 1405430.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -955.346  |
| Total gain                  | -95.52%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.04826  |
| Price action distance mean  | 0.0612611 |
| Price action distance std   | 0.113059  |
| Price action distance max   | 0.906697  |
| Closest bankruptcy          | 4.275%    |
| Lowest equity/balance ratio | 0.1166    |
| Equity/balance ratio std    | 0.01256   |
| No. fills                   | 2205      |
| No. entries                 | 173       |
| No. closes                  | 2031      |
| No. initial entries         | 77        |
| No. reentries               | 84        |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 1955      |
| No. normal closes           | 76        |
| Average n fills per day     | 2.97      |
| Mean hours stuck            | 37.3648   |
| Max hours stuck             | 12956.6   |
| PNL sum                     | -955.2    |
| Profit sum                  | 6.664     |
| Loss sum                    | -961.9    |
| Fee sum                     | -0.0965   |
| Biggest pos size            | 26481.0   |
| Biggest pos cost            | 91.42     |
| Volume quote                | 874.247   |
+-----------------------------+-----------+
