+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 758.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.187%   |
| Final balance               | 3632.72  |
| Final equity                | 1326.45  |
| Net PNL + fees              | 2632.72  |
| Total gain                  | 265.9%   |
| Average daily gain          | 0.0859%  |
| DG mean std ratio           | 0.02744  |
| Price action distance mean  | 0.408197 |
| Price action distance std   | 0.734464 |
| Price action distance max   | 2.99076  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3187   |
| Equity/balance ratio std    | 0.2295   |
| No. fills                   | 4628     |
| No. entries                 | 2557     |
| No. closes                  | 2071     |
| No. initial entries         | 1386     |
| No. reentries               | 1171     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 2071     |
| Average n fills per day     | 6.1      |
| Mean hours stuck            | 6.21044  |
| Max hours stuck             | 3989.22  |
| PNL sum                     | 2659.0   |
| Profit sum                  | 2659.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -26.35   |
| Biggest pos size            | 824.5    |
| Biggest pos cost            | 3302.0   |
| Volume quote                | 263493.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -19.8%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -936.565 |
| Total gain                  | -93.62%  |
| Average daily gain          | -0.605%  |
| DG mean std ratio           | -0.05097 |
| Price action distance mean  | 0.441934 |
| Price action distance std   | 0.347694 |
| Price action distance max   | 0.911352 |
| Closest bankruptcy          | 5.964%   |
| Lowest equity/balance ratio | 0.06563  |
| Equity/balance ratio std    | 0.1484   |
| No. fills                   | 1016     |
| No. entries                 | 729      |
| No. closes                  | 286      |
| No. initial entries         | 220      |
| No. reentries               | 509      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 286      |
| Average n fills per day     | 1.34     |
| Mean hours stuck            | 21.5491  |
| Max hours stuck             | 12295.6  |
| PNL sum                     | -936.2   |
| Profit sum                  | 33.62    |
| Loss sum                    | -969.8   |
| Fee sum                     | -0.3475  |
| Biggest pos size            | 54.0     |
| Biggest pos cost            | 93.91    |
| Volume quote                | 3380.86  |
+-----------------------------+----------+
