+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0852%   |
| Final balance               | 1462.9    |
| Final equity                | 1260.4    |
| Net PNL + fees              | 462.899   |
| Total gain                  | 47.79%    |
| Average daily gain          | 0.039%    |
| DG mean std ratio           | 0.0245    |
| Price action distance mean  | 0.117591  |
| Price action distance std   | 0.186984  |
| Price action distance max   | 1.99375   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.667     |
| Equity/balance ratio std    | 0.06215   |
| No. fills                   | 10094     |
| No. entries                 | 5484      |
| No. closes                  | 4610      |
| No. initial entries         | 4479      |
| No. reentries               | 1005      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4610      |
| Average n fills per day     | 11.3      |
| Mean hours stuck            | 9.49446   |
| Max hours stuck             | 3044.22   |
| PNL sum                     | 477.9     |
| Profit sum                  | 477.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -14.98    |
| Biggest pos size            | 27.08     |
| Biggest pos cost            | 734.6     |
| Volume quote                | 149831.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -905.952  |
| Total gain                  | -90.34%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04914  |
| Price action distance mean  | 0.043203  |
| Price action distance std   | 0.0852384 |
| Price action distance max   | 0.643953  |
| Closest bankruptcy          | 5.996%    |
| Lowest equity/balance ratio | 0.09591   |
| Equity/balance ratio std    | 0.06624   |
| No. fills                   | 2519      |
| No. entries                 | 1550      |
| No. closes                  | 968       |
| No. initial entries         | 968       |
| No. reentries               | 582       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 968       |
| Average n fills per day     | 2.82      |
| Mean hours stuck            | 19.8409   |
| Max hours stuck             | 12487.5   |
| PNL sum                     | -903.4    |
| Profit sum                  | 111.7     |
| Loss sum                    | -1015.0   |
| Fee sum                     | -2.535    |
| Biggest pos size            | 59.95     |
| Biggest pos cost            | 554.5     |
| Volume quote                | 24797.9   |
+-----------------------------+-----------+
